product_id,product_brand,product_name,product_sku,product_retail_price,product_cost,product_weight,recyclable,low_fat
301,Super,Super Apple Butter,76410352587,0.53,0.23,10.8,,1
302,Super,Super Oregano,53702738881,3.45,1.24,13.7,1,
303,Super,Super Apple Jelly,11040605902,2.58,0.88,13.6,1,1
304,Super,Super Grape Jam,47570758461,1.89,0.72,10.1,1,
305,Super,Super Apple Jam,29027220606,3.39,1.53,6.72,,1
306,Super,Super Strawberry Jam,34795139431,3.96,1.47,16.5,,1
307,Super,Super Creamy Peanut Butter,20608538985,1.48,0.64,18.2,,1
308,Super,Super Strawberry Preserves,61712093949,2.18,0.89,8.82,,1
309,Super,Super Extra Chunky Peanut Butter,16763259768,3.62,1.19,18.7,1,1
310,Super,Super Apple Preserves,27104580998,0.76,0.33,10.8,1,1
311,Super,Super Grape Jelly,17491382956,2.15,0.67,9.67,,
312,Excellent,Excellent Berry Juice,20972600579,2.13,0.66,12.6,1,
313,Excellent,Excellent Mango Drink,11575867533,2.85,1.37,7.12,,1
314,Excellent,Excellent Strawberry Drink,50392721295,1.85,0.81,9.26,,1
315,Excellent,Excellent Cream Soda,69255055785,0.96,0.39,15.5,,
316,Excellent,Excellent Diet Soda,77309675812,1.31,0.55,7.28,1,
317,Excellent,Excellent Cola,65409776568,2.18,1.09,13.1,1,
318,Excellent,Excellent Diet Cola,42702162861,2.47,0.96,17.8,1,
319,Excellent,Excellent Orange Juice,90040029883,1.6,0.59,9.58,,
320,Excellent,Excellent Cranberry Juice,36570182442,3.26,1.08,16.4,,
321,Excellent,Excellent Apple Juice,29243685603,2.41,0.8,13.2,1,
322,Excellent,Excellent Apple Drink,35011604428,2.98,0.92,12.8,,
323,Best,Best Oatmeal,75705832839,3.5,1.23,15.4,,1
324,Best,Best Corn Puffs,50711517930,1.97,0.85,7.43,,
325,Best,Best Wheat Puffs,71860553622,1.51,0.65,19.1,1,
326,Best,Best Grits,16104004979,2.47,0.89,8.87,1,
327,Better,Better Canned Beets,96490806937,0.6,0.26,8.6,,1
328,Better,Better Creamed Corn,99972024559,1.26,0.44,11.6,1,
329,Better,Better Canned String Beans,59596592783,1.74,0.64,10.9,1,1
330,Better,Better Chicken Soup,98413446545,3.98,1.71,7.47,,
331,Better,Better Canned Yams,57990807890,2.83,1.25,15.9,,
332,Better,Better Vegetable Soup,66045427918,2.21,0.86,9.36,,
333,Better,Better Canned Tomatos,54145528674,1.32,0.57,17.9,,1
334,Better,Better Noodle Soup,31437914967,0.78,0.39,9,1,
335,Better,Better Regular Ramen Soup,78775781989,3.74,1.31,8.73,1,
336,Better,Better Chicken Noodle Soup,25305934548,1.15,0.36,13.1,1,
337,Better,Better Turkey Noodle Soup,17979437708,0.75,0.31,8.34,1,1
338,Better,Better Beef Soup,23747356534,0.57,0.22,16.9,1,
339,Better,Better Canned Peas,75658625960,1.4,0.69,21.3,1,1
